2020-02-02 00:34:01 status half-installed libsqlite3-0:amd64 3.16.2-5+deb9u1
2020-02-02 00:34:01 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2020-02-02 00:34:01 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2020-02-02 00:34:01 install gnupg:amd64 <none> 2.1.18-8~deb9u4
2020-02-02 00:34:01 status half-installed gnupg:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:01 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:01 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:01 install dirmngr:amd64 <none> 2.1.18-8~deb9u4
2020-02-02 00:34:01 status half-installed dirmngr:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:01 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:01 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:01 startup packages configure
2020-02-02 00:34:01 configure libnpth0:amd64 1.3-1 <none>
2020-02-02 00:34:01 status unpacked libnpth0:amd64 1.3-1
2020-02-02 00:34:01 status half-configured libnpth0:amd64 1.3-1
2020-02-02 00:34:01 status installed libnpth0:amd64 1.3-1
2020-02-02 00:34:01 configure readline-common:all 7.0-3 <none>
2020-02-02 00:34:01 status unpacked readline-common:all 7.0-3
2020-02-02 00:34:01 status half-configured readline-common:all 7.0-3
2020-02-02 00:34:01 status installed readline-common:all 7.0-3
2020-02-02 00:34:01 configure libreadline7:amd64 7.0-3 <none>
2020-02-02 00:34:01 status unpacked libreadline7:amd64 7.0-3
2020-02-02 00:34:01 status half-configured libreadline7:amd64 7.0-3
2020-02-02 00:34:01 status installed libreadline7:amd64 7.0-3
2020-02-02 00:34:01 configure libksba8:amd64 1.3.5-2 <none>
2020-02-02 00:34:01 status unpacked libksba8:amd64 1.3.5-2
2020-02-02 00:34:01 status half-configured libksba8:amd64 1.3.5-2
2020-02-02 00:34:01 status installed libksba8:amd64 1.3.5-2
2020-02-02 00:34:01 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2020-02-02 00:34:01 status half-configured libc-bin:amd64 2.24-11+deb9u4
2020-02-02 00:34:01 status installed libc-bin:amd64 2.24-11+deb9u4
2020-02-02 00:34:01 configure libsqlite3-0:amd64 3.16.2-5+deb9u1 <none>
2020-02-02 00:34:01 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2020-02-02 00:34:01 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2020-02-02 00:34:01 status half-configured libsqlite3-0:amd64 3.16.2-5+deb9u1
2020-02-02 00:34:01 status installed libsqlite3-0:amd64 3.16.2-5+deb9u1
2020-02-02 00:34:01 configure libassuan0:amd64 2.4.3-2 <none>
2020-02-02 00:34:01 status unpacked libassuan0:amd64 2.4.3-2
2020-02-02 00:34:01 status half-configured libassuan0:amd64 2.4.3-2
2020-02-02 00:34:01 status installed libassuan0:amd64 2.4.3-2
2020-02-02 00:34:01 configure pinentry-curses:amd64 1.0.0-2 <none>
2020-02-02 00:34:01 status unpacked pinentry-curses:amd64 1.0.0-2
2020-02-02 00:34:01 status half-configured pinentry-curses:amd64 1.0.0-2
2020-02-02 00:34:01 status installed pinentry-curses:amd64 1.0.0-2
2020-02-02 00:34:01 configure gnupg-agent:amd64 2.1.18-8~deb9u4 <none>
2020-02-02 00:34:01 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:02 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:02 status half-configured gnupg-agent:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:02 status installed gnupg-agent:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:02 configure dirmngr:amd64 2.1.18-8~deb9u4 <none>
2020-02-02 00:34:02 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:02 status half-configured dirmngr:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:02 status installed dirmngr:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:02 configure gnupg:amd64 2.1.18-8~deb9u4 <none>
2020-02-02 00:34:02 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2020-02-02 00:34:02 status half-configured gnupg:amd64 2.1.18-8~deb9u4
